dataset,use MT structures,measurement type,num measurements,num structures,is single-point,is multi-point,correlation computation,HCNN_biopython_proteinnet_0p00 - Pearsonr,HCNN_biopython_proteinnet_0p00 - Pearsonr p-value,HCNN_biopython_proteinnet_0p00 - Spearmanr,HCNN_biopython_proteinnet_0p00 - Spearmanr p-value,HCNN_biopython_proteinnet_0p50 - Pearsonr,HCNN_biopython_proteinnet_0p50 - Pearsonr p-value,HCNN_biopython_proteinnet_0p50 - Spearmanr,HCNN_biopython_proteinnet_0p50 - Spearmanr p-value,HCNN_biopython_proteinnet_extra_mols_0p00 - Pearsonr,HCNN_biopython_proteinnet_extra_mols_0p00 - Pearsonr p-value,HCNN_biopython_proteinnet_extra_mols_0p00 - Spearmanr,HCNN_biopython_proteinnet_extra_mols_0p00 - Spearmanr p-value,HCNN_biopython_proteinnet_extra_mols_0p50 - Pearsonr,HCNN_biopython_proteinnet_extra_mols_0p50 - Pearsonr p-value,HCNN_biopython_proteinnet_extra_mols_0p50 - Spearmanr,HCNN_biopython_proteinnet_extra_mols_0p50 - Spearmanr p-value,HCNN_pyrosetta_proteinnet_extra_mols_0p00 - Pearsonr,HCNN_pyrosetta_proteinnet_extra_mols_0p00 - Pearsonr p-value,HCNN_pyrosetta_proteinnet_extra_mols_0p00 - Spearmanr,HCNN_pyrosetta_proteinnet_extra_mols_0p00 - Spearmanr p-value,HCNN_pyrosetta_proteinnet_extra_mols_0p50 - Pearsonr,HCNN_pyrosetta_proteinnet_extra_mols_0p50 - Pearsonr p-value,HCNN_pyrosetta_proteinnet_extra_mols_0p50 - Spearmanr,HCNN_pyrosetta_proteinnet_extra_mols_0p50 - Spearmanr p-value
SKEMPI 2.0,False,-ddG binding,5025.0,116.0,True,True,per structure,0.20121034198028168,1.8361569933833307e-37,0.20169821680631464,4.996121941850907e-32,0.2386254485026699,4.0308537603171636e-53,0.24364238728655183,4.377725075846001e-50,0.2089819725064822,2.8220797642226342e-42,0.2101351974055631,7.971168689588522e-35,0.23966499074157913,9.843649711858822e-49,0.24497684482960547,2.6726571719452544e-45,0.26245124743373255,7.972099780654893e-65,0.25523278110021164,1.213781531370692e-58,0.28655167564491835,2.1519258919972963e-79,0.2875622108822119,1.9174059374157807e-73
SKEMPI 2.0,False,-ddG binding,3485.0,93.0,True,False,per structure,0.2231120056519761,1.23089843030022e-27,0.21495710121542497,1.781239498377738e-22,0.2591635874574892,4.487318457155774e-43,0.25850710693480855,2.0432860669410794e-33,0.23147016442573415,1.8404169765744372e-33,0.22044662201119117,1.4040665435608492e-25,0.2662649768704484,4.146441063302967e-40,0.2623373353133503,1.6118904290538682e-31,0.29388386653253196,2.7148833900353403e-51,0.2742101896984543,2.4000934053082286e-41,0.3147918328570184,1.7718345244184196e-67,0.3061978011736313,2.0975190327157e-53
SKEMPI 2.0,False,-ddG binding,1304.0,41.0,False,True,per structure,0.26038607049772344,1.654919795302372e-22,0.27834609305433033,1.25786202243607e-22,0.3051861807650836,5.1950776160072945e-25,0.3097851071667816,2.198073560034847e-25,0.24319112329308537,1.2150316433549919e-20,0.26472662466028907,1.8675616811219622e-21,0.2883814844236617,4.0496265522978004e-21,0.2957578940310161,8.538943959859328e-23,0.27959399345938646,7.14026803548907e-28,0.28407236958494975,9.939974117975611e-32,0.3117877240776959,2.5153756827783564e-25,0.32042177155100887,1.4421830346546812e-27
SKEMPI 2.0,False,-ddG binding,5713.0,331.0,True,True,overall,0.18702410461903976,3.123148999335401e-46,0.19121842942730308,2.7541711128083176e-48,0.20709492035407243,1.6605458875643052e-56,0.22723185245486066,5.889110770486707e-68,0.2040507446809008,7.095043250687167e-55,0.19973547390907392,1.312131622770194e-52,0.2078182607592731,6.744238741422898e-57,0.22245455244658427,3.905053215919471e-65,0.24085538439163534,3.373169137827254e-76,0.24981582409323178,5.1351543466059414e-82,0.2517812090112662,2.52668012192436e-83,0.2702651658169423,3.381602357279426e-96
SKEMPI 2.0,False,-ddG binding,4106.0,308.0,True,False,overall,0.21749107639114518,2.7842101431740287e-45,0.19765558572285383,1.5064242544125472e-37,0.23897645632853498,1.430988616755341e-54,0.2366484460251561,1.617417074545632e-53,0.2414617674362826,1.0438017616176774e-55,0.20947388498501365,4.6392643759033735e-42,0.2436455507287656,1.0202587114760927e-56,0.23414204429662538,2.137592928737638e-52,0.28084153179402527,2.693159132701488e-75,0.2668671513679328,6.709189739395965e-68,0.29071376918499403,8.700153953335742e-81,0.2861396354439753,3.2449615901005723e-78
SKEMPI 2.0,False,-ddG binding,1607.0,142.0,False,True,overall,0.23746245972268681,4.764159676592125e-22,0.2510325925516413,1.5695380976860646e-24,0.2703401415500924,2.4959222874055716e-28,0.27721737744617664,9.264625589314438e-30,0.2491752890641974,3.5038525960353236e-24,0.26083662386584505,2.0258601847549328e-26,0.26541653611127114,2.4895714425532915e-27,0.27033388023220517,2.5033099849108507e-28,0.28069335407761187,1.7622984076625636e-30,0.2921051954380669,5.5871447855110487e-33,0.3041664944044882,9.52156163979934e-36,0.30736941271244467,1.664027945385975e-36
